title,artist,genre,tracklist
Star Edition,Eumir Deodato,Jazz,"$index[1] Spirit Of Summer $side[A1] $dur[5:33]
$index[2] Nights In White Satin $side[A2] $dur[6:00]
$index[3] Carly & Carole $side[A3] $dur[3:38]
$index[4] Also Sprach Zarathustra (Theme From '2001') $side[B1] $dur[9:00]
$index[5] Do It Again $side[B2] $dur[6:29]
$index[6] Rhapsody In Blue $side[C1] $dur[8:50]
$index[7] Skyscrapers $side[C2] $dur[6:35]
$index[8] Super Strut $side[D1] $dur[8:55]
$index[9] Prelude To Afternoon Of A Faun $side[D2] $dur[5:13]
$index[10] Pavane For A Dead Princess $side[D3] $dur[4:08]
"
Apocalypse Now,Various,Electronic,"$index[1] Self Immolation (Vein Tap Mix) $side[1-1] $dur[5:31]
$index[2] Metamorphosis $side[1-2] $dur[5:00]
$index[3] Dive-Right Jab (Til You Drop) $side[1-3] $dur[4:20]
$index[4] Pariah (Uncensored) $side[1-4] $dur[4:29]
$index[5] Condemned $side[1-5] $dur[5:52]
$index[6] Pressure $side[1-6] $dur[4:04]
$index[7] Isolation $side[1-7] $dur[4:11]
$index[8] Pig Machine $side[1-8] $dur[3:45]
$index[9] This World Desire $side[1-9] $dur[4:04]
$index[10] Downtown $side[1-10] $dur[6:00]
$index[11] Rage $side[1-11] $dur[4:07]
$index[12] Free! Tyson Free! $side[1-12] $dur[3:54]
$index[13] Motorskill $side[1-13] $dur[5:11]
$index[14] Apocalypse $side[1-14] $dur[5:22]
$index[15] Angelfire $side[1-15] $dur[6:25]
$index[16] S.Y.L. $side[2-1] $dur[4:47]
$index[17] Exposure $side[2-2] $dur[5:09]
$index[18] Beweglich Animalisch $side[2-3] $dur[5:11]
$index[19] T.F.W.O. $side[2-4] $dur[4:17]
$index[20] Mad Drunk $side[2-5] $dur[4:28]
$index[21] Heaven Gives Morphine $side[2-6] $dur[3:28]
$index[22] Alone $side[2-7] $dur[6:25]
$index[23] Scared Eyes Open Wide $side[2-8] $dur[6:58]
$index[24] Millenium $side[2-9] $dur[5:33]
$index[25] This Doggy Bites $side[2-10] $dur[4:12]
$index[26] Mathematical Slaughter $side[2-11] $dur[4:07]
$index[27] You Spin Me Round $side[2-12] $dur[4:50]
$index[28] Temper $side[2-13] $dur[4:07]
$index[29] Jesusatan $side[2-14] $dur[4:57]
$index[30] Die Down $side[2-15] $dur[5:12]
"
God Shuffled His Feet,Crash Test Dummies,Rock,"$index[1] God Shuffled His Feet $side[1] $dur[5:09]
$index[2] Afternoons & Coffespoons $side[2] $dur[3:56]
$index[3] Mmm Mmm Mmm Mmm $side[3] $dur[3:53]
$index[4] In The Days Of The Caveman $side[4] $dur[3:42]
$index[5] Swimming In Your Ocean $side[5] $dur[3:49]
$index[6] Here I Stand Before Me $side[6] $dur[3:07]
$index[7] I Think I'll Disappear Now $side[7] $dur[4:52]
$index[8] How Does A Duck Know? $side[8] $dur[3:42]
$index[9] When I Go Out With Artists $side[9] $dur[3:44]
$index[10] The Psychic $side[10] $dur[3:48]
$index[11] Two Knights And Maidens $side[11] $dur[3:24]
$index[12] Untitled $side[12] $dur[1:42]
"
Even In The Quietest Moments...,Supertramp,Rock,"$index[1] Give A Little Bit $side[A1] $dur[4:07]
$index[2] Lover Boy $side[A2] $dur[6:49]
$index[3] Even In The Quietest Moments $side[A3] $dur[6:39]
$index[4] Downstream $side[A4] $dur[4:00]
$index[5] Babaji $side[B1] $dur[4:49]
$index[6] From Now On $side[B2] $dur[6:10]
$index[7] Fool's Overture $side[B3] $dur[10:51]
"
Who Knows,Protoje,Reggae,"$index[1] Who Knows $side[A]
$index[2] Who Knows (Dub Mix) $side[B]
"
My Little Ghost,kidkanevil,Electronic,"$index[1] All Is Lost $side[A1]
$index[2] Earth To G San $side[A2]
$index[3] Inakunaru  $side[A3]
$index[4] Escape Pod $side[B1]
$index[5] Dimension Bomb $side[B2]
$index[6] Butterfly/satellite $side[B3]
$index[7] Ohayo $side[B4]
$index[8] Oyasumi $side[C1]
$index[9] Og San $side[C2]
$index[10] Shunkanido $side[C3]
$index[11] Tomie  $side[D1]
$index[12] Keroro Dub $side[D2]
$index[13] All Is Not Lost  $side[D3]
$index[14] Tales Of Moonlight And Rain (Japan Bonus) $side[D4]
"
Flume,Flume,Electronic,"$index[1] The Mixtape
$index[2] Intro $side[A1]
$index[3] Space Cadet $side[A2]
$index[4] Insane $side[A3]
$index[5] Stay Close $side[A4]
$index[6] Holdin On $side[B1]
$index[7] Change $side[B2]
$index[8] Warm Thoughts $side[B3]
$index[9] Sleepless $side[B4]
$index[10] Hyperparadise (Flume Mixtape Version) $side[B5]
$index[11] The Remixes
$index[12] You & Me (Flume Remix) $side[C1]
$index[13] Hyperparadise (Flume Remix) $side[C2]
$index[14] A Baru In New York (Flume Soundtrack Version) $side[C3]
$index[15] Zimbabwe (Flume Remix) $side[C4]
$index[16] Flume Remixed
$index[17] Sleepless (Shlohmo Remix) $side[D1]
$index[18] Holdin On (123Mrk Remix) $side[D2]
$index[19] Left Alone (Ta-Ku Remix) $side[D3]
$index[20] Insane (L D R U Remix) $side[D4]
"
Skin,Flume,Electronic,"$index[1] Helix $side[A1]
$index[2] Never Be Like You $side[A2]
$index[3] Lose It $side[A3]
$index[4] Numb & Getting Colder $side[A4]
$index[5] Say It $side[B1]
$index[6] Wall Fuck $side[B2]
$index[7] Pika $side[B3]
$index[8] Smoke & Retribution $side[B4]
$index[9] 3 $side[C1]
$index[10] When Everything Was New $side[C2]
$index[11] You Know $side[C3]
$index[12] Take A Chance $side[C4]
$index[13] Innocence $side[D1]
$index[14] Like Water $side[D2]
$index[15] Free $side[D3]
$index[16] Tiny Cities $side[D4]
"
Sparks EP,Chrome Sparks,Electronic,"$index[1] Your Planet $side[A1] $dur[4:31]
$index[2] Marijuana $side[A2] $dur[3:01]
$index[3] Cosmic Claps Of Love $side[A3] $dur[5:16]
$index[4] Send The Pain On $side[B1] $dur[5:37]
$index[5] Gates To Heaven $side[B2] $dur[4:45]
$index[6] Luna Luxor $side[B3] $dur[4:16]
"
Stadium Arcadium,Red Hot Chili Peppers,Rock,"$index[1] Jupiter
$index[2] Dani California $side[A1] $dur[4:42]
$index[3] Snow ((Hey Oh)) $side[A2] $dur[5:35]
$index[4] Charlie $side[A3] $dur[4:38]
$index[5] Stadium Arcadium $side[B1] $dur[5:15]
$index[6] Hump De Bump $side[B2] $dur[3:33]
$index[7] She's Only 18 $side[B3] $dur[3:25]
$index[8] Slow Cheetah $side[B4] $dur[5:20]
$index[9] Torture Me $side[C1] $dur[3:44]
$index[10] Strip My Mind $side[C2] $dur[4:19]
$index[11] Especially In Michigan $side[C3] $dur[4:00]
$index[12] Warlocks $side[C4] $dur[3:26]
$index[13] C'mon Girl $side[D1] $dur[3:49]
$index[14] Wet Sand $side[D2] $dur[5:10]
$index[15] Hey $side[D3] $dur[5:40]
$index[16] Mars
$index[17] Desecration Smile $side[E1] $dur[5:00]
$index[18] Tell Me Baby $side[E2] $dur[4:08]
$index[19] Hard To Concentrate $side[E3] $dur[4:00]
$index[20] 21st Century $side[F1] $dur[4:22]
$index[21] She Looks To Me $side[F2] $dur[4:06]
$index[22] Readymade $side[F3] $dur[4:30]
$index[23] If $side[F4] $dur[2:52]
$index[24] Make You Feel Better $side[G1] $dur[3:52]
$index[25] Animal Bar $side[G2] $dur[5:25]
$index[26] So Much I $side[G3] $dur[3:44]
$index[27] Storm In A Teacup $side[G4] $dur[3:45]
$index[28] We Believe $side[H1] $dur[3:35]
$index[29] Turn It Again $side[H2] $dur[6:05]
$index[30] Death Of A Martian $side[H3] $dur[4:25]
"
